School,Address
Ansar-Ud-Deen Girls High School,"71/77 Onitire Road Itire, Lagos Nigeria"
Apata Memorial High School,"Plot 36/42 Godwin Omonua Street Ire-Akari estate Isolo, Lagos Nigeria"
Apostolic Faith Secondary School,"Apostolic Faith Campground Road, Anthony Village, Lagos Nigeria"
Atlantic Hall School,"Atlantic Hall Poka Epe, Lagos Nigeria"
Attwool Sunflower School,"Plot 24C Adewunmi Adebimpe Drive By Mobolaji Johnson Place Lekki, Lagos Nigeria"
Avi-Cenna International school,"6 Harold Shodipo Crescent Ikeja, Lagos Nigeria"
Awesome College,"20 Town Planning Way Ilupeju, Lagos Nigeria"
Baptist Mission Schools,"Baptist Academy Compound Obanikoro, Lagos, Nigeria"
Bellina College,"3-7 & 8 Tunde Bello Street Akoka Yaba, Lagos Nigeria"
Cambridge College,"63, Adekunle Fajuyi Way GRA Ikeja, Lagos Nigeria"
Cayley College,Cayley College
Chrisland College,"72 Ejigbo Road Idimu, Lagos Nigeria"
Corona Secondary School,"72 Raymond Njoku Street Ikoyi, Lagos Nigeria"
Covenant Seeds International School,"1 Israel Adebajo Close Off Ladipo Oluwole Street Ikeja, Lagos Nigeria"
Diamond Private School,"No 87 Lafiaji way Dolphin Estate Ikoyi, Lagos Nigeria"
Early Poppers School,"7 Oyo Alafin Street General Bustop Igando, Lagos State"
Fountain Heights Secondary School,"58 Adelabu Street Surulere, Lagos Nigeria"
Global International Secondary School & College,"Block 12 Plot 26 Admiralty Way Lekki Scheme 1, Lagos Nigeria"
Greenspring School,"No 32 Olatunde Ayoola Avenue Anthony, Lagos Nigeria"
Halifield School,"No 2 Oki Lane Maryland, Lagos Nigeria"
Home Science Association Secondary School,"7/19 Home Science Avenue Alakuko Ajegunle Ifako Ijaiye, Lagos Nigeria"
Jextoban Secondary School,"1-3 Ibadan Street off Church Street Alapere Ketu, Lagos Nigeria"
Juilliard Academy,"Block 80 plot 15 Bashiru Shittu Street Magod GRA Phase ll, Lagos Nigeria"
Kith and Kin Educational Schools,"7/11 Kaoli Olusanya Street Owode Ibeshe Ikorodu, Lagos Nigeria"
Krisbethel College,"BO 2-6 federal lowcost Housing Estate Akinogun Bus/Stop Ipaja, Lagos Nigeria"
Lekki British School,"Victoria Arobieke Street Off Admiralty Way Lekki Phase 1, Lagos Nigeria"
Nazareth School,"3rd Avenue H Close Festac Town, Lagos Nigeria"
Nigerian Navy Secondary School,"7th Floor 1-3 Moloney Street Obalende, Lagos Nigeria"
Our Lady of Apostles Private School,"342 Herbert Macaulay Way Yaba, Lagos Nigeria"
Pacific Comprehensive College,"Plot 1-3 Ola Ogundipe street Bammeke Shasha Akowonjo, Lagos Nigeria"
